Date,IPO_Name,Issue_Size(crores),QIB,HNI,RII,Issue_price,Listing_Open,Listing_Close,Listing_Gains(%),CMP,Current_gains
01-10-2020,Chemcon Special,318,113.54,449.14,41.21,340,731,584.8,72,316.35,-6.96
05-10-2020,Angel One,600,5.74,0.69,4.31,306,275,275.85,-9.85,1297.45,324
12-10-2020,UTI AMC,2159.88,3.34,0.93,2.32,554,476.2,476.6,-13.97,825.55,49.02
12-10-2020,Mazagon Dock,443.69,89.71,678.88,35.63,145,216.25,173,19.31,253,74.48
02-11-2020,Equitas Bank,517.6,3.91,0.22,2.08,33,31,32.75,-0.76,53.45,61.97
20-11-2020,Gland,6479.55,6.4,0.51,0.24,1500,1710,1820.45,21.36,3219.6,114.64
14-12-2020,Restaurant Bran,796.5,86.64,354.11,68.15,60,115.35,138.4,130.67,127.65,112.75
24-12-2020,Bectors Food,540.54,176.85,620.86,29.33,288,501,595.55,106.79,338.5,17.53
01-01-2021,Antony Waste,300.53,0.64,0.28,7.22,315,430,407.25,29.29,292,-7.3
29-01-2021,IRFC,4633,0.89,0.52,1.59,26,25,24.85,-4.42,22.25,-14.42
02-02-2021,Indigo Paints,1170.56,96.21,115.76,6.5,1490,2607.5,3118.65,109.31,1772,18.93
03-02-2021,Home First,1153.72,52.53,39,6.59,518,612.15,527.4,1.81,718.1,38.63
05-02-2021,Stove Kraft,412.63,8.02,32.72,26.04,385,498,445.95,15.83,669.85,73.99
25-02-2021,Nureca,100,0.24,17.1,74.29,400,634.95,666.65,66.66,1483.75,270.94
26-02-2021,Railtel,819.24,22.03,51.4,7.08,94,109,121.4,29.15,103.15,9.73
05-03-2021,Heranba,60,25.98,108.72,4.82,627,900,812.25,29.55,644.9,2.85
15-03-2021,MTAR Tech,596.41,52.01,522.35,12.78,575,990.05,1082.25,88.22,1900.5,230.52
19-03-2021,Easy Trip,510,0,2.79,14.48,187,182,208.3,11.39,570,204.81
24-03-2021,Anupam Rasayan,760,30.8,62.06,4.62,555,534.7,525.9,-5.24,916.4,65.12
25-03-2021,Laxmi Organic,600,1.13,0.73,4.41,130,173,164.6,26.62,427.75,229.04
25-03-2021,Craftsman,823.7,0.56,0.05,1.04,1490,1440,1433,-3.83,2083.4,39.83
26-03-2021,Suryoday Small,582.34,2.18,1.31,3.09,305,274.75,276.2,-9.44,127.05,-58.34
26-03-2021,Kalyan Jeweller,1175,1.18,0.97,1.47,87,73.9,75.3,-13.45,62.25,-28.45
30-03-2021,Nazara,582.91,52.82,148.42,34.49,1101,1971,1576.8,43.22,1965.95,78.56
07-04-2021,Barbeque Nat,453.6,0,0,0,500,492,590.4,18.08,1343,168.6
19-04-2021,Macrotech Dev,2500,3.05,1.44,0.4,486,439,463.15,-4.7,1271.45,161.62
14-05-2021,PowerGrid InvIT,7734.99,0,0,0,100,104,102.98,2.98,130,30
24-06-2021,Shyam Metalics,909,62.18,172.51,5.29,306,380,375.85,22.83,323.35,5.67
24-06-2021,Sona BLW,5550,1.57,0.22,0.66,291,302.4,362.85,24.69,655,125.09
28-06-2021,Dodla Dairy,521,84.88,73.26,11.34,428,550,609.1,42.31,475,10.98
05-07-2021,Krishna Inst.,2146,5.26,1.89,2.9,825,1009,1096.8,32.95,1309.6,58.74
07-07-2021,India Pesticide,800,2.64,1.36,4.4,296,360,335.45,13.33,305.6,3.24
19-07-2021,G R Infra,963.28,93.18,73.01,4.89,837,1700,1746.8,108.7,1507.55,80.11
19-07-2021,Clean Science,1546,156.37,206.43,9,900,1784.4,1585.2,76.13,2010,123.33
23-07-2021,Zomato,9375,51.79,32.96,7.45,76,115,125.85,65.59,86,13.16
29-07-2021,Tatva Chintan,500,2.55,9.78,13.36,1083,2111.8,2310.25,113.32,2323,114.5
